#Prestal File V0.0.1	2025-3-6_14-27-53_17272
#Generate by ../../../JHS_ana_v05/JHS_ana/testdata/20250226091806_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
1 46 703.8 9.29194 1.53886
1 47 636.919 6.33848 301.214
1 48 610.602 17.4593 7.51995
1 49 615.315 11.5213 78.0817
1 50 611.405 17.4668 24.4389
1 51 606.546 10.1683 14.6755
1 52 603.928 9.37949 4.30443
1 53 599.32 6.88175 7.09468
1 54 625.988 12.601 7.49218
1 55 624.39 7.93272 2.6775
1 56 631.552 13.0363 8.97115
1 57 627.349 13.6244 39.8469
1 58 630.942 14.2625 3.795
1 59 650.445 11.4224 21.7952
1 60 688.871 23.126 31.3948
1 61 667.927 24.349 45.0684
1 62 671.415 14.4267 7.58627
1 63 626.757 16.3626 34.0144
1 64 712.952 10.6247 29.4632
1 65 694.958 16.4907 44.5837
1 66 608.217 12.6085 44.0821
1 67 650.707 20.0685 28.7392
1 68 609.66 14.4272 44.0086
1 69 605.746 12.3434 72.9231
1 70 612.118 22.6973 34.1913
1 71 618.351 15.9853 53.1903
1 72 654.852 18.3839 58.3934
1 73 639.121 11.281 24.1819
1 74 612.905 17.2467 21.4118
1 75 686.047 21.0361 44.3413
1 76 609.765 18.2695 41.3276
1 77 610.622 20.8345 27.6265
1 78 609.949 12.5735 40.1078
1 79 601.501 18.1949 24.5804
1 80 662.952 9.5806 69.2518
1 81 613.078 14.3585 42.6575
1 82 655.493 10.1244 12.5162
1 83 643.24 15.5526 37.4731
1 84 630.834 11.8523 26.9957
1 85 637.37 11.3492 18.1903
1 86 618.944 14.5534 11.9828
1 87 624.871 11.3304 18.6308
1 88 650.424 11.0332 13.0707
1 89 643.762 10.0285 13.5663
1 90 635.502 14.8819 6.77677
1 91 607.111 16.7859 7.03606
1 92 638.088 15.9071 14.8634
1 93 642.721 12.45 5.66007
1 94 625.296 9.38659 7.93002
1 95 593.519 16.9826 16.7705
1 96 639.844 14.5978 39.4689
1 97 615.248 11.7559 37.8627
1 98 598.577 20.2044 11.8881
1 99 595.972 18.3928 5.63738
1 100 585.933 17.9292 16.894
1 101 603.946 11.2891 10.8798
1 102 606.978 18.391 7.596
1 103 605.808 13.1104 8.68693
1 104 614.532 9.85208 7.25609
1 105 624.647 9.67455 5.53823
1 106 596.884 10.4324 53.8933
1 107 630.446 10.1717 344.448
1 108 594.275 12.9616 14.8503
1 109 579.464 10.9746 13.273
1 110 584.466 10.3688 4.50836
1 111 607.593 12.8603 10.3276
1 112 660.744 12.6331 64.9305
1 113 638.949 15.496 32.3164
1 114 647.246 9.88959 1.38452
1 115 621.667 8.78294 15.5676
1 116 594.767 10.916 6.17307
1 117 615.404 8.78249 7.40752
1 118 635.544 10.395 5.91848
1 119 648.593 8.46489 5.47879
1 120 652.26 44.7232 43.85
1 121 636.952 33.211 59.6268
1 122 652.527 36.7604 48.7035
1 123 633.102 38.6067 64.8724
1 124 640.702 8.27273 9.49249
1 125 643.11 28.997 53.1294
1 126 646.187 28.9905 60.2404
1 127 606.236 10.0961 11.993
2 0 717.845 23.9995 17.5808
2 1 663.727 15.9754 35.121
2 2 637.389 25.1742 15.7264
2 3 605.993 18.4116 22.8734
2 4 683.426 23.5876 20.8411
2 5 604.337 17.5987 29.9225
2 6 645.379 23.8383 11.7618
2 7 622.559 15.6809 12.4354
2 8 616.385 37.5292 16.246
2 9 583.295 30.1989 32.5152
2 10 658.424 31.6334 20.5076
2 11 615.11 24.6364 26.5295
2 12 711.278 30.603 21.4271
2 13 636.16 27.6718 24.3687
2 14 647.122 30.7867 31.6793
2 15 598.004 27.1471 23.1257
2 16 587.611 15.7198 7.01689
2 17 634.734 11.9369 6.20401
2 18 615.912 15.8023 22.8418
2 19 599.167 15.7289 8.09002
2 20 607.903 11.6695 5.23674
2 21 620.587 9.01214 3.6477
2 22 625.096 18.5907 18.0763
2 23 614.535 14.6866 12.7364
2 24 598.379 8.47105 3.65235
2 25 620.994 7.42787 1.26882
2 26 632.889 8.8923 7.75427
2 27 606.697 3.6795 15.9152
2 28 639.14 10.0598 5.15424
2 29 612.063 11.2178 2.95901
2 30 650.611 16.3279 5.60711
2 31 604.593 17.7111 12.1756
2 32 723.894 9.01043 4.43354
2 33 629.724 8.32451 61.0143
2 34 662.478 8.37255 3.75907
2 35 617.029 7.52242 2.86345
2 36 679.545 9.30447 55.3136
2 37 617.434 7.35347 3.83535
2 38 698.37 8.69251 3.29898
2 39 634.98 7.25391 1.84424
2 40 613.942 10.4264 4.55714
2 41 600.978 8.71616 5.67302
2 42 717.53 8.09493 6.05737
2 43 668.213 8.30974 4.36188
2 44 646.331 10.1053 12.7034
2 45 627.554 9.07409 11.4765
2 46 697.72 9.13755 2.8504
2 47 631.551 8.84173 8.49927
2 48 626.282 8.92817 2.33129
2 49 611.806 7.74271 72.2777
2 50 630.629 8.50998 4.37499
2 51 594.302 7.8779 4.09054
2 52 588.157 8.7531 2.32658
2 53 593.513 8.71228 4.91047
2 54 629.149 8.42282 2.64538
2 55 597.896 8.64875 23.8473
2 56 637.233 10.6071 9.21823
2 57 622.083 10.0651 8.89638
2 58 634.128 8.92422 3.9227
2 59 633.958 7.58774 4.56619
2 60 705.085 8.54314 9.10976
2 61 655.157 11.9508 6.16512
2 62 685.276 11.344 10.4602
2 63 609.014 9.78182 12.7875
2 64 703.184 22.4896 17.3342
2 65 702.976 21.8337 15.1733
2 66 594.325 25.7696 26.6217
2 67 663.856 16.8161 14.4112
2 68 615.529 20.0861 16.6697
2 69 602.415 25.0714 39.4251
2 70 617.111 15.9543 6.69332
2 71 634.9 19.1087 18.7789
2 72 643.619 21.2642 14.1247
2 73 658.569 28.5003 37.7822
2 74 616.303 34.2359 21.0675
2 75 675.894 15.1837 21.2244
2 76 621.507 29.5313 24.8025
2 77 616.562 34.2286 31.211
2 78 602.736 28.7307 29.0999
2 79 604.914 26.0944 14.807
2 80 629.242 9.78285 2.03831
2 81 593.915 17.6996 36.4613
2 82 617.181 10.1654 15.6468
2 83 593.86 12.3016 22.936
2 84 590.494 25.8939 33.8916
2 85 644.92 14.5739 19.6584
2 86 602.736 16.0819 14.9078
2 87 583.366 34.6232 26.1702
2 88 632.77 9.51451 3.49981
2 89 632.241 12.5703 7.82025
2 90 624.156 12.3038 3.14035
2 91 601.647 12.2252 17.6619
2 92 586.677 15.2472 4.69964
2 93 619.156 11.6951 3.63694
2 94 605.477 16.0865 8.98124
2 95 592.842 13.6666 3.256
2 96 581.431 7.78247 2.58732
2 97 602.358 9.52876 70.0849
2 98 596.76 7.99828 2.64336
2 99 586.699 10.0662 4.99003
2 100 586.758 8.63908 2.58389
2 101 550.511 7.70589 6.85916
2 102 580.541 11.8194 3.51879
2 103 573.054 9.56744 3.96998
2 104 584.795 8.22744 4.53445
2 105 607.462 8.785 6.73992
2 106 584.079 9.91691 12.8836
2 107 614.586 10.4896 4.36007
2 108 582.414 10.504 25.5673
2 109 577.505 10.3259 15.8574
2 110 588.644 8.75816 5.3197
2 111 600.981 10.4551 3.88674
2 112 639.244 8.28634 9.58081
2 113 593.315 9.55462 5.51456
2 114 618.229 9.452 14.9293
2 115 573.258 8.20098 4.80273
2 116 587.033 10.6636 3.80289
2 117 587.17 8.61641 14.2477
2 118 618.425 10.6521 2.50059
2 119 613.022 8.21856 1.98142
2 120 639.277 8.25344 4.46271
2 121 609.589 9.31783 7.23311
2 122 619.897 8.74319 7.74392
2 123 589.236 9.73969 5.2242
2 124 634.814 8.04458 8.69149
2 125 613.536 9.62457 13.4901
2 126 610.228 8.34291 5.71443
2 127 608.021 10.288 7.62808
3 0 712.735 14.9388 2.8742
3 1 674.384 14.1194 4.28296
3 2 604.758 16.0067 6.19043
3 3 602.18 14.3316 4.3138
3 4 645.153 15.8035 2.49416
3 5 619.703 14.7577 4.00539
3 6 602.146 17.383 2.1058
3 7 624.817 16.1854 4.73353
3 8 625.851 28.6473 26.2712
3 9 589.633 26.5399 32.6238
3 10 645.315 29.3239 24.2024
3 11 618.251 46.2414 31.3941
3 12 694.815 23.9822 17.5912
3 13 638.397 18.316 12.532
3 14 624.585 18.8412 25.4451
3 15 612.159 1.87507 6.54308
3 16 605.169 13.4385 75.9125
3 17 616.394 12.0363 5.57871
3 18 605.401 13.7192 4.94172
3 19 604.144 11.7456 5.96181
3 20 597.457 17.9378 23.6193
3 21 614.175 13.2844 9.67037
3 22 621.595 30.6977 31.9417
3 23 618.044 36.7435 30.2669
