#Prestal File V0.0.1	2024-11-7_14-22-54_358243
#Generate by /mnt/d/jhs/tstData/20241107142157_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
1 53 573.763 8.15458 346.779
1 54 603.729 15.6331 180.246
1 55 599.996 8.49131 373.5
1 56 613.564 16.4436 7.12898
1 57 598.175 8.56675 69.5139
1 58 608.373 16.064 8.7222
1 59 639.382 8.52288 32.721
1 60 674.611 10.5944 25.4319
1 61 639.6 10.9658 64.3794
1 62 655.771 16.5498 15.6568
1 63 627.517 8.59681 62.1898
1 64 680.443 15.6337 115.718
1 65 700.408 12.6509 194.407
1 66 618.284 18.7428 96.9315
1 67 637.269 15.0081 131.496
1 68 612.621 19.7313 138.494
1 69 601.786 18.5397 226.835
1 70 614.219 16.1966 238.061
1 71 617.279 19.2273 112.107
1 72 652.901 28.5682 49.6556
1 73 629.517 16.4087 110.726
1 74 610.262 15.1808 126.16
1 75 656.653 17.069 204.403
1 76 602.487 13.9262 742.622
1 77 624.34 18.1857 497.304
1 78 594.824 18.9731 167.434
1 79 595.834 14.7403 186.195
1 80 646.497 13.4504 146.894
1 81 609.205 12.5887 152.93
1 82 629.907 13.9194 84.2447
1 83 611.903 14.2707 110.443
1 84 610.495 15.2563 146.823
1 85 628.911 14.7112 111.084
1 86 605.596 13.1031 362.851
1 87 612.92 16.1672 201.796
1 88 657.772 13.4009 65.1576
1 89 650.732 12.7826 72.2319
1 90 626.297 12.938 137.184
1 91 589.819 12.8622 100.163
1 92 607.398 14.2109 109.885
1 93 622.737 11.8925 94.5107
1 94 619.791 13.931 73.6084
1 95 619.327 14.3559 102.613
1 96 608.344 12.7012 83.8709
1 97 604.421 11.3839 177.88
1 98 588.475 11.9338 151.246
1 99 598.463 12.0781 141.237
1 100 601.45 13.6267 188.956
1 101 589.676 12.719 286.476
1 102 600.651 12.6751 298.247
1 103 592.893 14.2521 149.869
1 104 609.62 13.2829 96.6697
1 105 606.202 12.4546 136.254
1 106 599.577 11.1841 109.056
1 107 612.393 12.0242 214.057
1 108 593.117 12.9506 825.636
1 109 579.774 12.1306 740.539
1 110 -68.4301 7.23783 287.517
1 111 606.315 11.8729 222.1
1 112 638.703 12.2611 288.154
1 113 625.896 10.5183 283.197
1 114 641.926 11.1715 212.715
1 115 609.997 12.2828 82.394
1 116 589.208 11.6877 428.651
1 117 611.96 13.5169 173.777
1 118 620.43 11.8617 697.166
1 119 642.671 13.1344 530.967
1 120 630.706 11.1952 46.8796
1 121 625.215 9.97424 214.979
1 122 646.615 10.4691 35.199
1 123 599.686 11.1363 149.143
1 124 643.204 12.5678 115.835
1 125 626.64 10.2169 74.4613
1 126 617.57 11.2816 28.535
1 127 624.565 11.7836 102.292
2 0 708.012 20.9891 29.363
2 1 674.43 6.58996 78.8087
2 2 628.817 18.1899 128.052
2 3 598.621 7.77093 161.243
2 4 671.217 22.5354 48.8755
2 5 607.892 6.89112 512.618
2 6 648.976 25.4629 125.187
2 7 617.328 7.2925 469.63
2 8 613.453 18.9339 74.9279
2 9 588.021 7.14459 190.916
2 10 675.822 21.3286 125.198
2 11 631.411 6.8161 319.357
2 12 703.816 19.2864 315.011
2 13 656.881 7.42864 889.799
2 14 622.27 10.9472 312.702
2 15 618.792 7.28359 245.783
2 16 597.72 22.6205 45.6011
2 17 616.734 7.72164 168.357
2 18 609.135 19.2299 19.8404
2 19 593.112 6.77538 26.6898
2 20 600.31 23.854 68.584
2 21 597.338 7.93071 267.401
2 22 626.369 23.6919 252.068
2 23 626.279 7.40045 543.619
2 24 602.64 13.6562 42.7054
2 25 611.213 6.25387 197.817
2 26 629.423 15.5064 21.148
2 27 609.839 6.23462 97.7684
2 28 645.397 14.7468 91.6371
2 29 619.293 6.16785 28.1548
2 30 633.866 17.7491 21.7352
2 31 619.802 6.48031 14.0739
2 32 711.447 12.515 30.6549
2 33 628.137 6.30382 56.2938
2 34 667.162 12.9333 133.609
2 35 632.665 6.13507 248.669
2 36 684.319 15.2805 66.7881
2 37 635.467 5.69071 507.052
2 38 692.537 15.1858 162.286
2 39 652.867 5.7994 707.443
2 40 644.146 14.9105 44.929
2 41 637.262 6.17151 182.243
2 42 704.414 13.5525 109.821
2 43 670.951 6.27333 160.44
2 44 664.207 13.8296 420.914
2 45 623.087 5.80605 1187.81
2 46 706.152 13.2298 265.821
2 47 655.591 5.57252 653.838
2 48 635.925 14.4786 202.136
2 49 608.944 6.01774 740.087
2 50 626.857 13.4654 46.907
2 51 619.189 5.88586 75.1856
2 52 598.98 11.4824 202.533
2 53 601.924 6.19984 653.523
2 54 637.515 12.4112 449.844
2 55 619.514 6.46814 851.975
2 56 644.943 10.7375 86.4148
2 57 644.193 6.19653 306.264
2 58 643.541 11.4162 42.0117
2 59 667.427 5.94853 53.0992
2 60 694.163 6.62433 48.8032
2 61 680.52 6.37834 48.7426
2 62 681.803 10.537 50.7503
2 63 636.896 5.95492 17.6049
2 64 695.367 9.50425 43.1242
2 65 704.882 6.64588 151.66
2 66 628.458 8.24029 354.916
2 67 678.173 7.10545 107.254
2 68 634.778 9.89506 137.962
2 69 629.337 9.50892 335.826
2 70 627.304 7.54961 688.117
2 71 642.459 9.2619 77.6801
2 72 654.708 18.3238 56.0663
2 73 669.273 9.62544 141.808
2 74 626.199 4.74227 28.1455
2 75 674.275 7.08122 170.248
